vendor,ag_and_dead_market,ag_and_evo_market,h_ag_only,date_min,date_max
snowball_ii,0,0,1,2014-04-06,2014-04-26
snowc0ne,0,0,1,2015-02-26,2015-04-12
snowday,0,0,1,2014-12-01,2014-12-03
snowiee001,0,0,1,2015-06-04,2015-06-20
snowqueen,0,0,1,2014-10-31,2014-12-03
snowrobot,0,0,1,2014-11-15,2015-03-29
soap,1,0,0,2014-09-22,2014-09-22
soba,1,1,0,2015-04-03,2015-07-07
socal_connect,1,1,0,2014-10-25,2015-07-07
socali,0,0,1,2015-06-30,2015-07-07
socksrockslocks,0,0,1,2014-01-09,2015-07-07
sodawater,1,1,0,2015-03-22,2015-04-07
soldier,0,1,0,2014-08-03,2015-04-03
solid,0,0,1,2014-04-06,2015-03-13
solidseller,1,1,0,2014-10-25,2015-05-13
solidsupply,0,0,1,2015-04-12,2015-07-07
someguy9191,1,0,0,2014-04-26,2014-10-31
someonewhoisme,0,0,1,2014-11-15,2015-07-07
soni_mathers,0,0,1,2014-04-06,2015-05-13
sonicboom,0,0,1,2014-01-09,2015-03-29
sonsofleary,0,0,1,2014-01-09,2014-05-24
sosacafe,0,0,1,2015-06-15,2015-07-07
soulhigh,0,0,1,2015-01-21,2015-06-04
soulpusher,0,0,1,2015-02-24,2015-07-07
soulrebel,0,1,0,2014-05-16,2014-12-15
soupnazi,0,0,1,2015-04-07,2015-04-12
sour_rock,0,0,1,2014-08-27,2014-10-31
southpole,0,1,0,2015-03-29,2015-06-26
southsidecartel,0,0,1,2015-01-15,2015-07-07
space100...,0,0,1,2014-05-24,2014-09-22
spaceboy,1,0,0,2014-02-23,2014-08-14
spacehorse,0,0,1,2014-03-03,2014-03-06
spacejam023,0,0,1,2015-02-13,2015-07-07
spacelab,1,0,0,2014-04-06,2015-03-13
spaceship2,0,0,1,2014-12-03,2015-02-24
spanishcream,0,1,0,2014-12-30,2015-02-28
spartanlabsoz,1,1,0,2014-11-15,2015-07-07
spdr001,0,0,1,2014-08-03,2014-10-31
speednweed,0,0,1,2014-11-15,2015-02-13
speedvendor,0,0,1,2014-05-16,2015-05-04
speedyyy,0,0,1,2015-02-01,2015-03-22
speedzzzz,0,0,1,2014-02-23,2015-07-07
spicegirl,0,0,1,2014-01-26,2014-09-05
spikeandjet,0,0,1,2014-03-06,2014-08-27
spinifex,1,1,0,2014-01-26,2015-07-07
squarepeg,0,0,1,2014-11-06,2014-11-07
sr_dance4life,0,0,1,2014-12-01,2015-04-12
srog,1,0,0,2014-02-23,2014-04-26
starburstcandy,0,0,1,2015-02-24,2015-07-07
starbuy,1,1,0,2014-09-05,2015-06-04
stardockgalix,0,1,0,2014-01-09,2015-07-07
stardrugs,0,1,0,2015-01-16,2015-03-07
stardust39,0,1,0,2014-10-25,2015-02-02
starlight,1,0,0,2014-02-23,2015-07-07
starrynight,1,1,0,2014-02-02,2015-03-13
starseed,1,1,0,2014-10-25,2015-06-11
stashhouse,1,0,0,2015-02-17,2015-04-07
steadfast,0,0,1,2014-03-06,2014-05-16
steaksngravy,1,1,0,2014-02-23,2015-06-30
stealth-ninja,0,0,1,2015-01-09,2015-04-27
stealthbomber,0,1,0,2014-02-23,2015-07-07
stealthpharmacy,1,1,0,2015-03-22,2015-07-07
steamore,0,1,0,2015-01-08,2015-06-26
stefandl,1,1,0,2014-02-23,2015-04-12
steliokontos,0,1,0,2014-04-06,2014-10-31
steroid-depot,1,0,0,2014-02-23,2015-05-13
steroidlab,0,0,1,2015-06-04,2015-07-07
steroidshoppen,1,0,0,2014-04-26,2014-06-01
steroidwarehouse,0,1,0,2015-02-02,2015-07-07
steveohjo,0,0,1,2014-01-26,2014-02-05
stickyhash,1,1,0,2014-05-24,2014-11-06
stiffstyles,0,0,1,2014-03-06,2015-06-30
stillinger,0,0,1,2014-01-09,2014-12-24
stoeprand,1,1,0,2014-04-26,2015-07-07
stoertebaker,0,0,1,2014-08-03,2014-09-22
stojkovic,0,1,0,2014-04-06,2014-05-24
stonednsmilin2,1,1,0,2014-02-23,2015-06-11
stoneisland,0,1,0,2014-02-23,2015-04-12
storage1012years,0,0,1,2015-02-01,2015-02-28
straightbiz,1,1,0,2014-04-06,2015-07-07
strainhunters,0,1,0,2014-08-03,2015-04-03
strains.,0,0,1,2014-10-29,2015-01-09
strat0sph3r366,0,0,1,2014-09-05,2014-09-05
stratton,0,1,0,2015-03-29,2015-04-12
strattonoakmont,0,1,0,2014-04-26,2015-04-27
strattonxanax,0,0,1,2015-04-03,2015-04-10
strayasfinest,0,1,0,2014-12-03,2015-04-12
streakfree,0,0,1,2015-06-26,2015-07-07
streetdreams,0,0,1,2015-06-04,2015-06-26
streetlord,0,0,1,2014-03-06,2014-04-26
strongduty,0,0,1,2015-02-17,2015-06-30
study_buddy1,0,1,0,2015-03-29,2015-06-20
studybuddies,0,0,1,2015-02-01,2015-07-07
studydrugsuk,1,1,0,2014-11-15,2015-06-04
studyingsteve,0,0,1,2015-06-30,2015-07-07
sturmgawehr,0,0,1,2014-10-25,2014-11-15
stussy,0,0,1,2014-06-01,2015-07-07
subprime,0,0,1,2014-01-16,2014-08-03
subs4daze,0,1,0,2014-02-28,2015-07-04
subwaygal,1,0,0,2014-10-25,2015-07-07
subzero!!,0,0,1,2015-01-21,2015-07-07
sugarwand,0,0,1,2014-02-02,2014-03-06
suitedvendor,0,1,0,2014-10-25,2014-11-15
sukeysr,0,0,1,2014-02-23,2014-04-06
sulliasi,0,0,1,2014-03-03,2014-03-06
summertime,0,0,1,2014-01-16,2015-07-07
sun-tzu,1,1,0,2014-11-15,2015-07-07
sunline_inc,1,1,0,2014-09-05,2015-06-30
