,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
1998,fidesweedshop,2015-06-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1999,cardiedavid,2014-02-24,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
2000,eggfriedreece13,2014-04-06,2014-11-03, 2014-10-29, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
2001,stoeprand,2014-04-24,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
2002,cmot,2014-02-23,2015-01-04,,,,1.0,1.0,1,0,1,,1,,1,,0,1,0,0
2003,horusnor,2014-11-15,2014-12-01,,,,,,0,0,0,,0,,0,,0,0,0,1
2004,sw_psychedelics,2014-10-29,2014-11-25, 2014-10-29, 2014-12-10,1.0,,,0,1,0,,0,,1,,0,0,1,0
2005,icantmtt2,2014-12-06,2014-12-26, 2014-12-10, 2015-01-06,1.0,,,0,1,0,,0,,1,,0,0,1,0
2006,theblottershop,2015-04-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2007,next_day,2014-10-17,2014-11-23,,,,,,0,0,0,,0,,0,,0,0,0,1
2008,audrugs,2015-01-01,2015-01-09,,,,,,0,0,0,,0,,0,,0,0,0,1
2009,pcubesensei,2014-11-13,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
2010,cherryflavor_2,2014-02-15,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2011,chronicchef,2014-05-06,2014-11-03, 2014-06-09, 2014-09-03,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
2012,neighborhood,2014-07-18,2014-09-05,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
2013,mrquality,2014-10-17,2015-07-07, 2014-10-29, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
2014,carebears,2015-01-02,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2015,europills,2015-05-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2016,edwestwick,2014-09-20,2015-07-01, 2014-12-04, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
2017,adderallnighter,2014-10-17,2015-06-12,,,,,,0,0,0,,0,,0,,0,0,0,1
2018,omegapharma,2014-08-03,2014-09-29, 2014-09-26, 2014-10-06,1.0,,,0,1,0,,0,,1,,0,0,1,0
2019,wheedle,2014-04-24,2014-12-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2020,internationalchems,2014-04-21,2014-11-01,,,,,,0,0,0,,0,,0,,0,0,0,1
2021,tha_d_king,2015-02-13,2015-05-21,,,,,,0,0,0,,0,,0,,0,0,0,1
2022,realcaliking,2014-10-17,2015-01-16,,,,,,0,0,0,,0,,0,,0,0,0,1
2023,highgrade101,2014-08-27,2014-09-15,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
2024,butterflylabs,2014-09-15,2014-10-31,,,,,,0,0,0,,0,,0,,0,0,0,1
2025,bubbleboy,2014-07-21,2014-08-14,,,,,,0,0,0,,0,,0,,0,0,0,1
2026,theodorerex,2014-04-24,2014-07-21,,,,,,0,0,0,,0,,0,,0,0,0,1
2027,acheter.en.france,2014-06-01,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2028,3948756,2014-08-30,2014-10-06,,,,,,0,0,0,,0,,0,,0,0,0,1
2029,drjuanbando,2014-08-14,2014-11-22,,,,,,0,0,0,,0,,0,,0,0,0,1
2030,mob-wives,2014-09-26,2014-10-19,,,,,,0,0,0,,0,,0,,0,0,0,1
2031,hederalexpress,2014-11-14,2015-07-07, 2014-11-27, 2015-03-20,1.0,,,0,1,0,,0,,1,,0,0,1,0
2032,hardyharrr,2015-03-19,2015-04-20,,,,,,0,0,0,,0,,0,,0,0,0,1
2033,uknextday!,2015-03-07,2015-03-30,,,,,,1,1,0,,1,,1,,0,0,1,0
2034,cheqdropz,2014-02-23,2014-10-25,,,,,,0,0,0,,0,,0,,0,0,0,1
2035,phunnypharm,2014-03-03,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2036,chemicallyembalanced,2014-02-15,2014-06-19,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
2037,griffin36,2014-04-24,2014-09-05,,,,,,0,0,0,,0,,0,,0,0,0,1
2038,dea,2014-07-18,2014-09-20,,,,,,0,0,0,,0,,0,,0,0,0,1
2039,rabidneurosis,2014-02-02,2014-07-21,,,,,,0,0,0,,0,,0,,0,0,0,1
2040,colamen,2014-02-23,2014-03-06,,,,,,0,0,0,,0,,0,,0,0,0,1
2041,beachcomber,2014-02-23,2014-05-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2042,daydreamer,2014-02-28,2015-05-10,,,,,,0,0,0,,0,,0,,0,0,0,1
2043,coca-droga,2015-05-21,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
2044,samwalton,2014-01-01,2014-11-03, 2014-06-09, 2014-07-07,1.0,,,0,1,0,,0,,1,,0,0,1,0
2045,quasidopo,2014-03-18,2014-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
2046,guninrunin,2014-07-05,2014-08-03,,,,,,0,0,0,,0,,0,,0,0,0,1
2047,trappeddownsouth,2015-06-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2048,brownmaker,2015-06-07,2015-06-11,,,,,,0,0,0,,0,,0,,0,0,0,1
2049,peter_dinklage,2015-06-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2050,saigon,2015-05-31,2015-06-15,,,,,,0,1,0,,0,,1,,0,0,1,0
2051,wonderdough,2015-04-09,2015-06-15,,,,,,0,0,0,,0,,0,,0,0,0,1
2052,access2,2015-06-13,2015-07-04,,,,,,0,0,0,,0,,0,,0,0,0,1
