,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
171,EverythingOnIt,5.00,6 hours,,30,70~100,2014-09-22
172,ChronicChef,5.00,7 days,,3,10~15,2014-09-22
173,Schwarzkopf,5.00,0 hours,,44,100~150,2014-09-22
174,GetBTC,5,1 days 0 hours,,12,15~25,2014-09-22
175,sambalam8,4.96,10 hours,,9,200~300,2014-09-22
176,Reverend_Green,,,,,,2014-09-22
177,SiriousHash,4.77,2 months 11 days,,4,70~100,2014-09-22
178,Renegade,4.84,6 hours,,19,70~100,2014-09-22
179,PurpleChemists,5.00,0 hours,,7,55~70,2014-09-22
180,Dracaufeu,4.97,0 hours,,12,300~500,2014-09-22
181,agora,,,,0,0,2014-09-22
182,usa2usadutchxtc,5,9 hours,,10,10~15,2014-09-22
183,3948756,5.00,4 hours,,9,10~15,2014-09-22
184,CityLights,4.55,1 months 5 days,,5,25~40,2014-09-22
185,butterflylabs,5.00,1 days 5 hours,,7,25~40,2014-09-22
186,Doritos,4.85,10 hours,,15,150~200,2014-09-22
187,GreenSlip,,18 days,,3,0,2014-09-22
188,NextDayValium,5.00,1 days 11 hours,,2,100~150,2014-09-22
189,batcountry,5.00,1 days 1 hours,,10,40~55,2014-09-22
190,OZ-TEAM,5.00,0 hours,,7,200~300,2014-09-22
191,Halaburton,4.96,0 hours,,4,55~70,2014-09-22
192,Carpet,,4 hours,,9,0,2014-09-22
193,Satire,,,,,,2014-09-22
194,dr_THC,4.84,1 hours,,14,100~150,2014-09-22
195,DRmagic,4.90,2 hours,,7,25~40,2014-09-22
196,EZTest,5.00,1 days 0 hours,,44,150~200,2014-09-22
197,PurityStandard,4.91,7 hours,,12,100~150,2014-09-22
198,europedrugs,4.85,1 days 13 hours,,26,100~150,2014-09-22
199,MrGreeen,5.00,5 hours,,7,25~40,2014-09-22
200,PhilCoke,5,8 hours,,3,3~5,2014-09-22
201,Righteous,4.980,4 hours,,14,500~1000,2014-09-22
202,I_dont_know,5.00,8 hours,,1,150~200,2014-09-22
203,onelove321,4.91,3 hours,,14,300~500,2014-09-22
204,MsStoner,4.67,1 hours,,12,200~300,2014-09-22
205,CVSPharmacy,4.62,1 hours,,7,55~70,2014-09-22
206,psychotropix,4.93,0 hours,,52,70~100,2014-09-22
207,IEsource,5.00,1 days 23 hours,,27,25~40,2014-09-22
208,Quixotic,5.00,4 months 1 days,,4,25~40,2014-09-22
209,MarcelKetman,4.972,8 hours,,9,1000+,2014-09-22
210,DutchPride,4.86,23 hours,,46,200~300,2014-09-22
211,Marleys,4.84,12 hours,,18,150~200,2014-09-22
212,sleepyvtg,4,5 days,,3,6~10,2014-09-22
213,EscrowLand,5,1 months 27 days,,4,6~10,2014-09-22
214,MrSaturn,4.99,7 hours,,4,150~200,2014-09-22
215,REALDEAL,5.00,0 hours,,9,150~200,2014-09-22
216,DeemzBeemz,4.98,1 hours,,3,300~500,2014-09-22
217,bionik,5.00,2 days 8 hours,,2,15~25,2014-09-22
218,maligan,,,,,,2014-09-22
219,GermanShop,5,1 hours,,2,3~5,2014-09-22
220,weednation,5.00,9 hours,,4,150~200,2014-09-22
221,ProperPacks,4.97,5 days,,5,25~40,2014-09-22
222,WeedGirls,4.94,1 months 0 days,,4,200~300,2014-09-22
223,CowBe11s,4.70,16 hours,,6,200~300,2014-09-22
224,TeamZissou,4.64,14 hours,,25,15~25,2014-09-22
225,missgreen,5.00,19 hours,,2,15~25,2014-09-22
226,OpiatEd,4.87,1 days 2 hours,,5,300~500,2014-09-22
227,UGL_OZ,5,2 months 1 days,,9,10~15,2014-09-22
228,OPIOID5,,2 days 21 hours,,8,0,2014-09-22
229,ozexpress,4.98,2 days 14 hours,,6,300~500,2014-09-22
230,re1oad,2,5 months 17 days,,1,1~2,2014-09-22
231,Oatmeal~Wookiee,4.97,2 days 18 hours,,5,25~40,2014-09-22
232,Christy_Nugs,5.00,7 hours,,4,150~200,2014-09-22
233,Amsterdamngood,4.81,5 days,,18,100~150,2014-09-22
234,fakeITA,,4 days,,3,0,2014-09-22
235,mikehamer,5.00,0 hours,,43,200~300,2014-09-22
236,Lovebomb,4,0 hours,,4,10~15,2014-09-22
237,KingsHabit,4.89,16 hours,,16,100~150,2014-09-22
238,GreenMountainMan,,,,,,2014-09-22
239,huntersthompson,5.00,16 hours,,14,70~100,2014-09-22
240,bigbudsforyou,,4 days,,1,0,2014-09-22
241,aussieherbalsmoke,5.00,1 hours,,4,15~25,2014-09-22
242,mrme171,5,5 days,,5,3~5,2014-09-22
243,meds4uk,4.61,1 months 3 days,,5,25~40,2014-09-22
244,Hackyboy,4.95,0 hours,,130,500~1000,2014-09-22
245,smoor.be,,6 months 10 days,,1,0,2014-09-22
246,DreamWeaver,4.94,0 hours,,6,150~200,2014-09-22
247,Lemsip,,,,,,2014-09-22
248,Victor.But,,8 hours,,1,0,2014-09-22
249,Sour_Rock,0,14 days,,4,1~2,2014-09-22
250,snakeoil,5.00,0 hours,,3,70~100,2014-09-22
251,Cash4Bitcoin,,21 days,,1,0,2014-09-22
252,Dipsy,4.78,3 hours,,8,100~150,2014-09-22
253,MrSunshine,,,,,,2014-09-22
254,Beachside,4.78,6 days,,7,200~300,2014-09-22
255,BBMC,5.00,20 hours,,1,150~200,2014-09-22
256,Datgurlgo,,,,,,2014-09-22
257,bestaussiegear,4.95,0 hours,,6,150~200,2014-09-22
258,painfree,4.52,10 days,,17,55~70,2014-09-22
259,Owsley_Stanley,5.00,2 days 9 hours,,10,40~55,2014-09-22
260,hot-potato,5,9 hours,,9,6~10,2014-09-22
261,AusMate,4.94,22 hours,,24,200~300,2014-09-22
262,SuperScripts,4,5 months 1 days,,15,6~10,2014-09-22
263,SeattlesBestCannabis,5.00,1 days 16 hours,,7,150~200,2014-09-22
264,VIPSMOKE,5.00,1 hours,,3,25~40,2014-09-22
265,illwun,5.00,0 hours,,19,100~150,2014-09-22
266,nanosuit1,5,11 hours,,7,6~10,2014-09-22
267,KryptykOG,4.93,3 hours,,40,200~300,2014-09-22
268,SmackHappy,3.50,4 months 13 days,,3,15~25,2014-09-22
269,DoctorNick,4.94,2 hours,,17,100~150,2014-09-22
270,oscillo66,5.00,3 hours,,4,15~25,2014-09-22
271,KittenHuffer,4.99,11 hours,,11,200~300,2014-09-22
272,DrSativa,5,5 hours,,3,1~2,2014-09-22
273,passman,4.957,6 hours,,133,1000+,2014-09-22
274,coloradocannabis,4.89,7 hours,,13,200~300,2014-09-22
275,OneKing,,3 hours,,21,0,2014-09-22
276,cannabis-king,,,,,,2014-09-22
277,fastandsafe1234,4.66,1 hours,,7,200~300,2014-09-22
278,NiceDrugs,5,17 hours,,18,15~25,2014-09-22
279,arctic,4.97,0 hours,,4,150~200,2014-09-22
280,GreenStreet,4.94,7 hours,,2,25~40,2014-09-22
281,Apotheke,4.99,1 days 1 hours,,33,200~300,2014-09-22
282,Mr.Lewis,4.80,11 hours,,39,200~300,2014-09-22
283,Bilderberg,,26 days,,4,0,2014-09-22
284,MoneypakTrader.com,5,5 months 27 days,,2,1~2,2014-09-22
285,modsnsods,4.91,5 hours,,15,300~500,2014-09-22
286,swisshound78,4.95,5 hours,,12,25~40,2014-09-22
287,stefandl,,,,,,2014-09-22
288,amsterdamwtc,,,,,,2014-09-22
289,ThinWhiteDuke,5.00,4 hours,,10,25~40,2014-09-22
290,insta_grams,4.89,1 days 7 hours,,5,100~150,2014-09-22
291,morfinomimetica,4.86,9 hours,,17,150~200,2014-09-22
292,RichDadPoorDad,5,1 days 7 hours,,21,3~5,2014-09-22
293,oliver201,4.87,2 days 21 hours,,8,70~100,2014-09-22
294,SilkySm00th,4.93,0 hours,,19,100~150,2014-09-22
295,ferrisbueller,5.00,11 hours,,12,70~100,2014-09-22
296,Oikos,5.00,6 hours,,2,70~100,2014-09-22
297,HUARWE,4.95,16 days,,10,100~150,2014-09-22
298,xdoc,5.00,1 hours,,15,55~70,2014-09-22
299,ogbryan,4.98,1 days 5 hours,,6,200~300,2014-09-22
300,TheBestCannabis,4.98,18 hours,,13,200~300,2014-09-22
301,qoh,,2 days 7 hours,,4, 1~2,2014-09-22
